listing_id,adjusted_price,host_response_time,host_is_superhost,ranking,Distance,Verification,reviews_per_month,instant_bookable,last_review,has_availability,availability_30
918849746326382698,1678.0,0.0,t,4.79,488.24500183806487,Both,6.36,t,7.0,t,0
918910496883688980,1678.0,0.0,t,4.92,488.24500183806487,Both,4.59,t,8.0,t,3
919246549392679003,3500.0,0.0,f,5.0,489.8628758611649,Both,3.0,t,7.0,t,30
919249744985809212,1674.0,0.0,f,5.0,490.1572443129741,Both,2.34,t,8.0,t,27
919275175902006440,914.0,1.0,f,4.86,3.8180694127366808,Both,2.8,f,8.0,t,2
919432746976596198,2456.0,0.0,f,4.56,3.855206085764145,Both,4.35,t,8.0,t,13
919435510137635097,999.0,0.0,f,4.83,414.2107175534726,Both,4.8,f,8.0,t,30
919457509193393722,2456.0,0.0,f,0.0,3.855206085764145,Both,1.03,t,8.0,t,14
919467620838119761,1000.0,3.0,f,0.0,185.35522549637923,only identity,0.0,f,0.0,t,22
919468199279677362,1450.0,0.0,t,0.0,1.6796561374309336,Both,0.94,f,7.0,t,5
919469524145396939,1000.0,3.0,f,0.0,185.35522549637923,only identity,0.7,f,8.0,t,22
919471152267853563,2000.0,3.0,f,0.0,185.35522549637923,only identity,0.0,f,0.0,t,29
919479511814279858,2358.0,0.0,f,0.0,488.051470834979,only identity,1.67,f,7.0,t,11
919496518739321256,1700.0,2.0,f,0.0,489.8628758611649,only identity,1.5,f,8.0,t,6
919665154913777534,10364.0,0.0,f,0.0,488.051470834979,Both,0.58,t,9.0,t,20
920006595056866587,3307.0,0.0,f,0.0,3.855206085764145,Both,0.81,t,9.0,t,20
920009739681933011,12280.0,0.0,f,0.0,4.779680037529501,Both,1.0,t,8.0,t,0
920009922501320593,1940.0,0.0,f,4.96,7.997025397482145,Both,10.38,f,7.0,t,0
920145543828906720,3239.0,0.0,t,4.33,489.8628758611649,Both,1.15,t,9.0,t,15
920157503700937336,4052.0,0.0,t,4.8,3.855206085764145,Both,1.95,f,8.0,t,0
920333159992646129,2000.0,0.0,f,4.29,488.24500183806487,Both,8.4,t,7.0,t,7
920897802494396456,1000.0,0.0,f,0.0,1.234721465780256,Both,0.53,f,9.0,t,19
921118464836633746,2550.0,0.0,t,4.88,3.1742847596468065,Both,6.23,t,8.0,t,5
921405378281419937,1400.0,0.0,t,4.55,488.051470834979,only identity,7.86,t,7.0,t,4
921552420014985786,1050.0,0.0,f,4.71,5.647773904731127,Both,4.38,t,7.0,t,22
921559603357086419,1250.0,0.0,f,4.86,5.647773904731127,Both,3.56,t,7.0,t,17
921644390941517374,860.0,1.0,f,5.0,3.8180694127366808,Both,2.11,f,7.0,t,1
921656094296909440,2280.0,0.0,t,0.0,3.8180694127366808,Both,1.43,t,8.0,t,0
921716442687325021,2000.0,0.0,f,0.0,483.299372936291,only identity,0.0,f,0.0,t,8
921775371991987216,1250.0,0.0,f,0.0,5.647773904731127,Both,1.22,t,8.0,t,21
921782535333371943,1250.0,0.0,f,4.0,5.647773904731127,Both,2.0,t,8.0,t,17
921793127032844407,1050.0,0.0,f,4.8,5.647773904731127,Both,2.68,t,7.0,t,22
921803254126905968,1050.0,0.0,f,4.5,5.647773904731127,Both,3.16,t,7.0,t,25
921842764696195687,1250.0,0.0,f,5.0,5.647773904731127,Both,1.8,t,8.0,t,27
921850938955127761,1250.0,0.0,f,5.0,5.647773904731127,Both,1.41,t,8.0,t,24
921864691392154478,1100.0,0.0,f,0.0,5.647773904731127,Both,1.43,t,8.0,t,23
921880985245645213,4000.0,0.0,f,0.0,5.647773904731127,Both,0.0,t,0.0,t,21
922118233968807793,1680.0,0.0,f,4.36,678.2685762110025,Both,6.36,t,7.0,t,11
922134769520744979,1500.0,0.0,t,4.67,488.051470834979,only identity,8.89,t,7.0,t,12
922205677986218964,2962.0,0.0,f,0.0,488.051470834979,Both,0.0,t,0.0,t,29
922334701782954007,2500.0,1.0,f,5.0,3.8180694127366808,Both,1.41,f,8.0,t,19
922349474859889441,2300.0,0.0,f,5.0,4.779680037529501,Both,4.39,f,7.0,t,21
922401339950111859,900.0,1.0,f,5.0,5.286658858414812,Both,2.0,f,8.0,t,8
922524385436061176,5700.0,0.0,f,0.0,1453.9733255232109,Both,0.0,t,0.0,t,30
922549095498273922,1390.0,0.0,f,4.79,414.2107175534726,Both,6.89,t,8.0,t,0
