listing_id,adjusted_price,host_response_time,ranking,Distance,reviews_per_month,last_review,availability_30,host_is_superhost_f,host_is_superhost_t,Verification_only profile,Verification_only identity,Verification_Both,instant_bookable_f,instant_bookable_t,has_availability_f,has_availability_t
191474,3266.0,0.0,4.59,645.5231245673652,0.25,8.0,18,True,False,False,False,True,False,True,False,True
191547,5599.0,0.0,4.65,645.5231245673652,0.31,11.0,19,True,False,False,False,True,False,True,False,True
191554,1866.0,0.0,4.28,645.5231245673652,0.36,8.0,8,True,False,False,False,True,False,True,False,True
199947,12869.0,0.0,4.62,3.855206085764145,0.92,11.0,2,True,False,False,False,True,False,True,False,True
201908,11076.0,0.0,4.55,5.973202765973969,0.23,7.0,6,True,False,False,False,True,True,False,False,True
202545,23871.0,0.0,4.58,5.973202765973969,0.3,8.0,0,True,False,False,False,True,False,True,False,True
207373,19871.0,0.0,4.64,3.855206085764145,1.67,8.0,5,True,False,False,False,True,False,True,False,True
208007,16224.0,0.0,4.46,3.855206085764145,0.97,8.0,19,True,False,False,False,True,False,True,False,True
209774,3956.0,0.0,4.18,1.6796561374309336,0.44,12.0,11,True,False,False,False,True,False,True,False,True
215576,10978.0,0.0,4.47,5.973202765973969,0.34,50.0,0,True,False,False,False,True,True,False,False,True
215583,6901.0,0.0,4.76,3.855206085764145,0.27,51.0,0,True,False,False,False,True,True,False,False,True
215586,34825.0,0.0,4.61,5.973202765973969,0.18,51.0,0,True,False,False,False,True,True,False,False,True
220569,1965.0,2.0,4.01,3.855206085764145,0.54,8.0,17,True,False,False,False,True,True,False,False,True
224386,19871.0,0.0,4.28,3.855206085764145,1.23,19.0,8,True,False,False,False,True,False,True,False,True
224457,2210.0,1.0,4.56,488.051470834979,1.76,8.0,13,True,False,False,False,True,True,False,False,True
247267,2210.0,0.0,4.81,3.855206085764145,3.15,8.0,3,False,True,False,False,True,True,False,False,True
254416,1474.0,2.0,3.97,3.855206085764145,1.18,8.0,19,True,False,False,False,True,True,False,False,True
254484,2074.0,0.0,4.78,3.855206085764145,1.8,8.0,15,False,True,False,False,True,False,True,False,True
