listing_id,neighbourhood_cleansed,room_type,accommodates,bathrooms_numeric,beds,bathrooms_shared,amenities_num
1590317,Praha 1,Entire home/apt,2,1.0,2.0,0,261
1591316,Praha 1,Entire home/apt,3,1.0,3.0,0,428
1647656,Praha 3,Entire home/apt,2,1.0,2.0,0,305
1653300,Praha 8,Entire home/apt,2,1.0,2.0,0,86
1659567,Praha 9,Entire home/apt,3,1.0,3.0,0,787
1685474,Praha 1,Entire home/apt,8,3.0,5.0,0,703
1686130,Praha 1,Entire home/apt,7,1.5,4.0,0,1129
1701072,Praha 1,Entire home/apt,6,1.0,4.0,0,361
1706131,Praha 1,Entire home/apt,9,2.0,9.0,0,279
1708606,Praha 4,Entire home/apt,2,1.0,1.0,0,93
1711450,Praha 1,Entire home/apt,12,2.5,10.0,0,287
1735621,Praha 10,Entire home/apt,2,1.0,1.0,0,866
1763136,Praha 1,Entire home/apt,2,1.0,1.0,0,844
1775594,Praha 3,Entire home/apt,2,1.0,1.0,0,259
1775721,Praha 3,Entire home/apt,2,1.0,1.0,0,284
1775745,Praha 3,Entire home/apt,2,1.0,1.0,0,302
1775852,Praha 3,Entire home/apt,2,1.0,1.0,0,334
1782461,Praha 3,Entire home/apt,2,1.5,1.0,0,799
1794809,Praha 5,Entire home/apt,2,2.0,1.0,0,518
1795471,Praha 1,Entire home/apt,7,1.0,7.0,0,802
1796375,Praha 3,Entire home/apt,4,1.5,1.0,0,823
1797813,Praha 1,Entire home/apt,4,1.5,2.0,0,923
1814243,Praha 1,Entire home/apt,6,1.5,4.0,0,557
1824829,Praha 1,Entire home/apt,8,1.0,4.0,0,327
1867891,Praha 7,Private room,2,1.5,2.0,1,979
1871973,Praha 1,Entire home/apt,4,1.5,1.0,0,1133
1887734,Praha 3,Private room,2,1.0,1.0,1,668
1895260,Praha 1,Entire home/apt,9,1.0,4.0,0,360
1908384,Praha 2,Entire home/apt,5,1.0,1.0,0,358
1916627,Praha 2,Entire home/apt,3,1.0,3.0,0,552
1916785,Praha 2,Entire home/apt,3,1.0,3.0,0,407
1916786,Praha 2,Entire home/apt,3,1.0,3.0,0,499
1921408,Praha 1,Entire home/apt,12,2.0,7.0,0,550
1921456,Praha 1,Entire home/apt,8,2.0,3.0,0,536
1921550,Praha 2,Entire home/apt,6,2.0,3.0,0,633
1921578,Praha 2,Entire home/apt,5,2.0,3.0,0,668
1921603,Praha 2,Entire home/apt,5,2.0,3.0,0,693
1927272,Praha 1,Entire home/apt,14,3.5,5.0,0,522
1935976,Praha 13,Private room,2,2.0,1.0,1,433
1938191,Praha 1,Private room,2,1.0,1.0,0,272
1962267,Praha 10,Entire home/apt,10,2.0,6.0,0,427
1973172,Praha 1,Entire home/apt,8,1.0,4.0,0,333
1982382,Praha 13,Private room,1,2.0,1.0,1,265
1993533,Praha 5,Entire home/apt,2,1.0,1.0,0,562
1994164,Praha 2,Entire home/apt,4,1.0,1.0,0,607
1996883,Praha 1,Entire home/apt,6,2.0,3.0,0,324
1997250,Praha 8,Entire home/apt,5,1.0,3.0,0,359
2006581,Praha 1,Entire home/apt,4,1.0,4.0,0,88
2006644,Praha 7,Entire home/apt,2,1.0,2.0,0,275
2006767,Praha 2,Entire home/apt,3,1.0,2.0,0,898
2026259,Praha 1,Entire home/apt,2,1.0,1.0,0,509
2064776,Praha 10,Entire home/apt,6,2.0,2.0,0,564
2064781,Praha 10,Hotel room,6,1.0,3.0,0,489
2065619,Praha 7,Entire home/apt,2,1.0,1.0,0,257
2078874,Praha 1,Entire home/apt,2,1.5,1.0,0,736
2096148,Praha 1,Entire home/apt,3,1.0,2.0,0,421
2096205,Praha 1,Entire home/apt,3,1.0,2.0,0,446
2098954,Praha 1,Entire home/apt,3,1.0,2.0,0,405
2104362,Praha 1,Entire home/apt,4,1.0,2.0,0,445
2106642,Praha 1,Entire home/apt,4,1.0,2.0,0,381
2114535,Praha 3,Entire home/apt,2,1.0,1.0,0,1660
