listing_id,date,price,minimum_nights,maximum_nights,in_season,weekend,new_year,busy,neighbourhood_cleansed,room_type,accommodates,bathrooms_numeric,beds,bathrooms_shared,amenities_num,adjusted_price,host_response_time,host_is_superhost,ranking,Distance,Verification,reviews_per_month,instant_bookable,last_review,has_availability,availability_30,sentiment_score
778106412287975194,2024-09-14,5534.0,2,100,0,1,0,0.2082191780821917,Praha 1,Private room,6,1.0,2.0,0,257,5534.0,0.0,f,0.0,488.051470834979,Both,0.25,t,11.0,t,4,0.504115879535675
947612204303483747,2024-09-14,1031.0,2,1125,0,1,0,1.0,Praha 2,Private room,4,1.0,4.0,0,421,1031.0,0.0,f,4.6,2162.993385383931,Both,3.33,t,8.0,t,0,0.6617104291915894
22784067,2024-09-14,8301.0,1,999,0,1,0,0.7643835616438356,Praha 8,Private room,3,1.0,3.0,0,554,8301.0,0.0,t,4.77,5.286658858414812,Both,1.15,t,7.0,t,21,0.6033165974819914
32638939,2024-09-14,1489.0,65,180,0,1,0,1.0,Praha 3,Entire home/apt,2,1.5,2.0,0,546,1489.0,2.0,f,4.8,413.9468053422716,Both,0.1,f,17.0,t,0,0.6509943723678588
905517848714603350,2024-09-14,1600.0,2,1125,0,1,0,0.915068493150685,Praha 2,Entire home/apt,5,1.0,4.0,0,286,1600.0,0.0,f,4.41,1.6796561374309336,Both,5.2,t,7.0,t,4,0.592381519429824
733794179896550731,2024-09-14,8000.0,2,365,0,1,0,0.7917808219178082,Praha 1,Entire home/apt,8,2.5,3.0,0,523,8000.0,0.0,t,4.92,488.051470834979,Both,4.38,t,7.0,t,21,0.6845914088949865
639499414686401076,2024-09-14,1500.0,3,1125,0,1,0,0.9013698630136986,Praha 5,Entire home/apt,3,1.0,2.0,0,1032,1500.0,0.0,f,4.74,483.299372936291,Both,2.04,f,7.0,t,1,0.6094152158306491
629428904926925529,2024-09-14,3275.0,2,1125,0,1,0,0.5808219178082191,Praha 5,Entire home/apt,2,1.0,1.0,0,725,2050.0,0.0,f,4.76,5.973202765973969,Both,1.55,t,9.0,t,0,0.6209691379751477
711376734483097125,2024-09-14,1500.0,2,20,0,1,0,0.7643835616438356,Praha 2,Private room,2,1.5,1.0,1,111,1400.0,1.0,f,4.82,1.6796561374309336,Both,1.17,f,8.0,t,26,0.6520532207055525
18899407,2024-09-14,2857.0,365,365,0,1,0,0.5123287671232877,Praha 2,Entire home/apt,4,1.5,2.0,0,1011,2834.0,0.0,t,5.0,9590.795278166544,Both,0.2,f,11.0,t,28,0.7317652358458593
963986896136663628,2024-09-14,2038.0,1,365,0,1,0,0.8958904109589041,Praha 2,Entire home/apt,2,1.0,1.0,0,796,2038.0,0.0,f,0.0,1.6796561374309336,Both,1.0,t,8.0,t,3,0.5768758654594421
9961665,2024-09-14,2235.0,3,360,0,1,0,0.684931506849315,Praha 6,Entire home/apt,5,1.5,4.0,0,415,1590.0,1.0,t,4.91,5.647773904731127,Both,0.83,f,8.0,t,2,0.6107249378393858
